dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,0.54,-0.1275,2022,3
Friday,1,0.5711111111111111,-0.124,2022,3
Friday,2,0.6425,-0.05000000000000001,2022,3
Friday,3,0.4028571428571429,-0.046,2022,3
Friday,4,0.36,-0.134,2022,3
Friday,5,0.485,-0.092,2022,3
Friday,6,0.42,-0.08249999999999999,2022,3
Friday,7,0.1575,-0.20285714285714287,2022,3
Friday,8,0.065,-0.445,2022,3
Friday,9,0.5888888888888889,-0.22749999999999998,2022,3
Friday,10,1.05,0.0,2022,3
Friday,11,0.47250000000000003,-0.13,2022,3
Friday,12,0.54,-0.265,2022,3
Friday,13,0.42,-0.0525,2022,3
Friday,14,0.037142857142857144,-0.2866666666666667,2022,3
Friday,15,0.252,-0.1275,2022,3
Friday,16,0.47250000000000003,-0.29200000000000004,2022,3
Friday,17,0.18,-0.17166666666666672,2022,3
Friday,18,0.54,-0.1125,2022,3
Friday,19,0.4488888888888889,-0.14400000000000002,2022,3
Friday,20,0.42,-0.26,2022,3
Friday,21,0.7875,-0.21666666666666667,2022,3
Friday,22,0.54,-0.235,2022,3
Friday,23,0.42,-0.22000000000000003,2022,3
Monday,0,0.6466666666666666,-0.18666666666666668,2022,3
Monday,1,0.8125,-0.17666666666666667,2022,3
Monday,2,0.63,-0.175,2022,3
Monday,3,0.9142857142857143,-0.08,2022,3
Monday,4,0.9142857142857143,-0.13,2022,3
Monday,5,0.7999999999999999,-0.3,2022,3
Monday,6,0.34,-0.05833333333333333,2022,3
Monday,7,0.72,-0.24333333333333332,2022,3
Monday,8,0.42000000000000004,-0.20166666666666666,2022,3
Monday,9,0.945,0.015,2022,3
Monday,10,0.63,-0.08333333333333333,2022,3
Monday,11,0.82,-0.5,2022,3
Monday,12,0.756,-0.2,2022,3
Monday,13,0.9,-0.1,2022,3
Monday,14,0.756,-0.035,2022,3
Monday,15,0.54,-0.21250000000000002,2022,3
Monday,16,1.05,-0.14,2022,3
Monday,17,0.756,-0.14500000000000002,2022,3
Monday,18,0.42,-0.21250000000000002,2022,3
Monday,19,0.72,-0.02,2022,3
Monday,20,0.84,-0.14500000000000002,2022,3
Monday,21,0.6466666666666666,0.04,2022,3
Monday,22,0.63,-0.21666666666666667,2022,3
Monday,23,0.9,-0.125,2022,3
Saturday,0,0.504,-0.18333333333333335,2022,3
Saturday,1,0.315,-0.2516666666666667,2022,3
Saturday,2,0.42,-0.1325,2022,3
Saturday,3,0.6425,-0.2625,2022,3
Saturday,4,0.63,-0.1125,2022,3
Saturday,5,0.7999999999999999,-0.1366666666666667,2022,3
Saturday,6,0.4366666666666667,-0.1325,2022,3
Saturday,7,0.524,-0.12333333333333334,2022,3
Saturday,8,0.56,-0.11000000000000001,2022,3
Saturday,9,0.42,-0.1825,2022,3
Saturday,10,0.756,0.0,2022,3
Saturday,11,0.4633333333333334,-0.3333333333333333,2022,3
Saturday,12,0.0,-0.1,2022,3
Saturday,13,0.63,0.12333333333333334,2022,3
Saturday,14,0.36,-0.094,2022,3
Saturday,15,0.47250000000000003,-0.198,2022,3
Saturday,16,0.63,-0.25,2022,3
Saturday,17,0.47250000000000003,-0.134,2022,3
Saturday,18,0.25333333333333335,-0.35,2022,3
Saturday,19,0.7875,-0.18333333333333335,2022,3
Saturday,20,0.5675,-0.32,2022,3
Saturday,21,0.63,-0.1,2022,3
Saturday,22,0.7,-0.31500000000000006,2022,3
Saturday,23,0.485,-0.22399999999999998,2022,3
Sunday,0,0.54,-0.095,2022,3
Sunday,1,0.5542857142857143,-0.23249999999999998,2022,3
Sunday,2,0.4633333333333334,-0.4366666666666667,2022,3
Sunday,3,0.8125,-0.16,2022,3
Sunday,4,0.7111111111111111,-0.23500000000000001,2022,3
Sunday,5,0.39571428571428574,-0.05800000000000001,2022,3
Sunday,6,0.7111111111111111,-0.22749999999999998,2022,3
Sunday,7,0.3275,-0.14833333333333334,2022,3
Sunday,8,0.27125,-0.23333333333333336,2022,3
Sunday,9,0.47250000000000003,-0.11599999999999999,2022,3
Sunday,10,0.63,-0.20333333333333337,2022,3
Sunday,11,0.21,-0.16,2022,3
Sunday,12,0.252,-0.275,2022,3
Sunday,13,0.18,-0.23500000000000001,2022,3
Sunday,14,0.54,-0.2075,2022,3
Sunday,15,0.42,-0.20750000000000002,2022,3
Sunday,16,0.63,-0.006666666666666668,2022,3
Sunday,17,1.05,-0.33,2022,3
Sunday,18,0.63,-0.29000000000000004,2022,3
Sunday,19,0.504,-0.16666666666666666,2022,3
Sunday,20,0.84,-0.115,2022,3
Sunday,21,0.72,-0.35333333333333333,2022,3
Sunday,22,0.6633333333333334,-0.14333333333333334,2022,3
Sunday,23,1.05,0.0,2022,3
Thursday,0,0.851111111111111,-0.30666666666666664,2022,3
Thursday,1,0.54,0.01,2022,3
Thursday,2,0.54,-0.04000000000000001,2022,3
Thursday,3,0.485,-0.24400000000000005,2022,3
Thursday,4,0.5542857142857143,-0.15250000000000002,2022,3
